source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
108210,151004,6,39.846,40.273,42.429,2.677,2.205,21.626,17.612,19.331,2.194,2.047
108210,151004,6,41.758,40.512,40.837,2.270,2.199,19.955,17.656,17.477,2.174,2.074
108210,54234,6,41.733,40.575,41.233,4.319,4.364,19.664,18.757,18.823,4.342,4.282
108210,54234,6,42.290,42.083,41.804,4.281,4.044,20.424,19.230,19.067,4.225,4.091
108210,143423,6,42.817,43.284,43.551,8.799,8.082,20.256,19.842,21.395,8.664,8.595
108210,143423,6,41.257,42.175,40.573,8.503,8.175,19.750,19.767,17.903,8.309,8.166
108210,104564,7,38.779,39.920,39.328,2.218,2.007,20.649,19.667,19.418,2.283,2.121
108210,104564,7,41.897,42.684,42.289,2.214,2.107,19.928,19.840,18.529,2.188,2.096
108210,26136,7,39.299,42.349,41.118,4.538,4.196,20.247,18.914,19.569,4.498,4.231
108210,26136,7,48.466,49.368,61.607,7.788,8.512,30.371,23.630,23.151,4.801,4.386
108210,25632,7,45.619,44.301,42.491,2.215,2.054,20.636,20.560,20.324,2.232,2.030
108210,25632,7,47.252,46.652,50.894,2.206,2.027,20.705,19.994,21.643,2.970,2.285
108210,146986,8,45.345,46.388,42.318,4.170,4.112,20.208,18.473,18.165,4.287,4.017
108210,146986,8,38.630,39.309,38.431,4.169,4.101,18.230,18.758,17.541,4.184,4.115
108210,13184,8,41.079,43.614,44.900,6.935,6.233,21.508,18.387,18.045,6.252,6.069
108210,13184,8,41.166,43.924,43.304,6.404,6.174,19.843,18.154,17.974,6.333,6.060
108210,133581,8,50.854,50.118,48.954,2.631,2.712,26.526,21.384,24.075,2.225,2.072
108210,133581,8,52.861,50.993,54.817,2.506,2.033,24.399,24.296,20.654,2.214,2.824
108210,71855,9,40.934,40.408,38.914,2.303,2.000,18.310,17.534,18.030,2.208,2.039
108210,71855,9,39.263,39.876,39.038,2.155,2.017,18.950,17.724,17.583,2.184,2.002
108210,129144,9,60.904,60.126,62.138,3.132,2.835,29.011,31.378,31.934,3.748,3.858
108210,129144,9,72.600,78.312,78.566,4.574,4.866,44.184,41.964,43.118,4.967,4.575
108210,83117,9,58.613,58.420,74.839,2.699,2.835,27.675,28.339,25.197,2.880,2.496
108210,83117,9,53.455,51.279,47.070,2.423,2.277,21.073,22.253,24.457,2.356,2.691
108210,127344,10,40.977,41.117,40.187,2.206,2.010,18.849,17.825,17.531,2.210,2.024
108210,127344,10,38.396,38.681,38.801,2.175,2.006,18.424,20.589,18.985,2.237,2.020
108210,92941,10,39.045,39.532,38.560,2.175,2.012,18.383,17.955,17.800,2.184,2.026
