source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87560,47292,48,18.092,17.135,15.030,16.239
87560,17030,48,17.568,17.004,14.865,15.853
87560,17030,48,15.920,17.076,14.048,15.623
87560,11733,49,30.373,33.269,22.507,17.802
87560,11733,49,20.870,24.610,18.317,20.548
87560,44365,49,22.776,22.153,21.998,21.671
87560,44365,49,23.548,24.338,31.781,28.563
87560,38617,49,25.362,22.304,19.302,19.687
87560,38617,49,17.628,17.551,15.840,16.449
87560,72488,50,17.500,17.248,14.869,15.985
87560,72488,50,25.108,20.363,16.756,27.655
87560,11884,50,19.098,27.089,24.841,31.034
87560,11884,50,27.091,21.953,18.455,23.662
87560,34176,50,26.126,23.417,20.956,21.374
87560,34176,50,22.233,20.986,18.832,20.894
87560,74016,51,18.485,19.157,16.845,18.679
87560,74016,51,18.337,17.462,14.891,15.706
87560,25322,51,16.356,16.959,14.498,15.695
87560,25322,51,15.680,16.070,14.142,15.062
87560,53400,51,15.483,15.495,13.910,14.849
87560,53400,51,15.058,15.566,14.010,14.409
87560,18494,52,23.539,30.877,18.195,15.861
87560,18494,52,17.097,17.687,14.781,15.958
87560,93450,52,15.891,16.890,14.612,15.238
87560,93450,52,15.080,16.343,14.469,15.999
87560,22796,52,19.282,16.986,14.863,16.050
87560,22796,52,16.486,16.642,14.770,15.747
87560,79787,53,16.236,16.471,17.627,18.445
87560,79787,53,16.704,16.645,14.249,15.429
87560,60707,53,15.694,16.028,13.941,16.223
87560,60707,53,16.950,17.377,15.831,16.112
87560,91107,53,15.825,17.229,14.248,15.771
87560,91107,53,16.012,16.612,14.446,15.743
87560,22211,54,15.955,16.185,13.951,15.134
87560,22211,54,15.502,15.626,14.082,15.286
87560,24992,54,16.501,16.644,15.159,16.058
87560,24992,54,17.008,16.936,14.603,15.779
87560,36273,54,15.646,15.902,14.790,15.597
87560,36273,54,15.859,16.220,14.301,15.665
87560,61182,55,14.834,14.655,13.166,14.051
87560,61182,55,14.346,14.819,13.242,14.312
87560,2279,55,13.767,14.749,13.635,20.625
87560,2279,55,16.177,15.073,14.104,15.238
87560,16673,55,17.943,16.809,14.886,15.846
87560,16673,55,16.768,18.102,15.637,16.098
87560,64575,56,16.191,16.034,14.467,15.588
87560,64575,56,16.218,17.556,15.058,16.395
87560,14762,56,15.941,16.082,14.562,14.576
